NAICS,NAICS description,Size class,No. firms,No. establishments,No. employees,Total payroll,Total receipts
445292,Confectionery and Nut Stores,more than 500,14,885,7369,95023,803856
445292,Confectionery and Nut Stores,total,1952,3171,19520,267732,1843124
445299,All Other Specialty Food Stores,fewer than 20,3647,3685,14958,226985,1460820
445299,All Other Specialty Food Stores,20 to 99,312,605,10575,155875,774638
445299,All Other Specialty Food Stores,100 to 499,45,225,4727,72953,348143
445299,All Other Specialty Food Stores,more than 500,14,868,5702,78842,503751
445299,All Other Specialty Food Stores,total,4018,5383,35962,534655,3087352
445310,"Beer, Wine, and Liquor Stores",fewer than 20,27526,27974,105287,1983063,27286549
445310,"Beer, Wine, and Liquor Stores",20 to 99,707,1531,21064,511968,5659738
445310,"Beer, Wine, and Liquor Stores",100 to 499,102,946,7229,158532,2225645
445310,"Beer, Wine, and Liquor Stores",more than 500,51,1876,17355,452188,7913389
445310,"Beer, Wine, and Liquor Stores",total,28386,32327,150935,3105751,43085321
446110,Pharmacies and Drug Stores,fewer than 20,16520,16809,112481,4203406,39198290
446110,Pharmacies and Drug Stores,20 to 99,1970,2989,63159,2260654,16808975
446110,Pharmacies and Drug Stores,100 to 499,145,898,14171,529281,4533751
446110,Pharmacies and Drug Stores,more than 500,217,22647,527359,17775346,175736357
446110,Pharmacies and Drug Stores,total,18852,43343,717170,24768687,236277373
447110,Gasoline Stations with Convenience Stores,fewer than 20,51360,52541,260707,4279722,135614929
447110,Gasoline Stations with Convenience Stores,20 to 99,3035,7574,92046,1508185,38020383
447110,Gasoline Stations with Convenience Stores,100 to 499,654,8551,77693,1300139,41491378
447110,Gasoline Stations with Convenience Stores,more than 500,217,29273,290642,5566407,210407868
447110,Gasoline Stations with Convenience Stores,total,55266,97939,721088,12654453,425534558
452910,Warehouse Clubs and Supercenters,fewer than 20,15,15,51,718,6356
452910,Warehouse Clubs and Supercenters,20 to 99,2,2,0,0,0
452910,Warehouse Clubs and Supercenters,100 to 499,2,23,0,0,0
452910,Warehouse Clubs and Supercenters,more than 500,13,5124,0,34667415,421015038
452910,Warehouse Clubs and Supercenters,total,32,5164,0,34677743,421104918
452990,All Other General Merchandise Stores,fewer than 20,7552,7617,23929,402433,3239681
452990,All Other General Merchandise Stores,20 to 99,307,523,10688,210105,1436584
452990,All Other General Merchandise Stores,100 to 499,75,327,8544,164560,1470746
452990,All Other General Merchandise Stores,more than 500,43,27045,278392,4577960,50226563
452990,All Other General Merchandise Stores,total,7977,35512,321553,5355058,56373574
454111,Electronic Shopping,fewer than 20,21613,21720,69298,2520413,25521490
454111,Electronic Shopping,20 to 99,1222,1336,42070,1808246,16401713
454111,Electronic Shopping,100 to 499,306,375,31204,1567990,15003991
454111,Electronic Shopping,more than 500,278,524,61780,3531854,94675781
454111,Electronic Shopping,total,23419,23955,204352,9428503,151602975
454390,Other Direct Selling Establishments,fewer than 20,19917,20146,60532,1764554,11616491
454390,Other Direct Selling Establishments,20 to 99,768,1095,21954,750470,3794786
454390,Other Direct Selling Establishments,100 to 499,135,299,9521,389471,2957480
454390,Other Direct Selling Establishments,more than 500,68,976,18631,837941,5099379
454390,Other Direct Selling Establishments,total,20888,22516,110638,3742436,23468136
481111,Scheduled Passenger Air Transportation,fewer than 20,162,168,572,33050,193376
481111,Scheduled Passenger Air Transportation,20 to 99,55,136,2110,110965,1703435
481111,Scheduled Passenger Air Transportation,100 to 499,32,269,6120,292886,10944415
481111,Scheduled Passenger Air Transportation,more than 500,37,1677,373225,21387121,0
481111,Scheduled Passenger Air Transportation,total,286,2250,382027,21824022,150141762
481112,Scheduled Freight Air Transportation,fewer than 20,132,135,454,17778,178808
481112,Scheduled Freight Air Transportation,20 to 99,24,54,987,57664,839259
481112,Scheduled Freight Air Transportation,100 to 499,17,73,2280,118224,1393061
481112,Scheduled Freight Air Transportation,more than 500,13,114,6041,563622,4334301
481112,Scheduled Freight Air Transportation,total,186,376,9762,757288,6745429
481211,Nonscheduled Chartered Passenger Air Transportation,fewer than 20,1197,1202,4595,312929,1867313
481211,Nonscheduled Chartered Passenger Air Transportation,20 to 99,154,167,5288,313320,1572362
481211,Nonscheduled Chartered Passenger Air Transportation,100 to 499,56,111,4156,300635,1457908
481211,Nonscheduled Chartered Passenger Air Transportation,more than 500,80,124,14222,1140397,5321804
481211,Nonscheduled Chartered Passenger Air Transportation,total,1487,1604,28261,2067281,10219387
481212,Nonscheduled Chartered Freight Air Transportation,fewer than 20,124,124,439,25021,270212
481212,Nonscheduled Chartered Freight Air Transportation,20 to 99,15,23,555,31755,168839
481212,Nonscheduled Chartered Freight Air Transportation,100 to 499,7,20,998,72137,273533
481212,Nonscheduled Chartered Freight Air Transportation,more than 500,4,10,686,45101,262439
481212,Nonscheduled Chartered Freight Air Transportation,total,150,177,2678,174014,975023
481219,Other Nonscheduled Air Transportation,fewer than 20,456,460,1505,94860,610668
481219,Other Nonscheduled Air Transportation,20 to 99,42,60,1313,90006,375429
481219,Other Nonscheduled Air Transportation,100 to 499,10,22,1015,68988,291153
481219,Other Nonscheduled Air Transportation,more than 500,11,29,0,0,0
481219,Other Nonscheduled Air Transportation,total,519,571,5382,402964,1844630
483111,Deep Sea Freight Transportation,fewer than 20,156,157,628,42623,562807
483111,Deep Sea Freight Transportation,20 to 99,30,40,1195,123717,807848
483111,Deep Sea Freight Transportation,100 to 499,13,16,1253,86024,494553
483111,Deep Sea Freight Transportation,more than 500,19,162,9299,821165,8584282
483111,Deep Sea Freight Transportation,total,218,375,12375,1073529,10449490
483112,Deep Sea Passenger Transportation,fewer than 20,40,40,0,5364,41568
483112,Deep Sea Passenger Transportation,20 to 99,3,3,144,7356,0
483112,Deep Sea Passenger Transportation,100 to 499,2,2,0,0,0
483112,Deep Sea Passenger Transportation,more than 500,7,13,0,0,0
483112,Deep Sea Passenger Transportation,total,52,58,0,0,0
483113,Coastal and Great Lakes Freight Transportation,fewer than 20,231,233,965,63013,257067
483113,Coastal and Great Lakes Freight Transportation,20 to 99,63,77,2647,188802,601287
483113,Coastal and Great Lakes Freight Transportation,100 to 499,32,68,6139,472990,1929147
483113,Coastal and Great Lakes Freight Transportation,more than 500,32,118,9348,742904,3979958
483113,Coastal and Great Lakes Freight Transportation,total,358,496,19099,1467709,6767459
483114,Coastal and Great Lakes Passenger Transportation,fewer than 20,115,117,479,26063,99960
483114,Coastal and Great Lakes Passenger Transportation,20 to 99,20,22,763,49941,199719
483114,Coastal and Great Lakes Passenger Transportation,100 to 499,8,18,983,47565,211006
483114,Coastal and Great Lakes Passenger Transportation,more than 500,3,3,202,9158,0
483114,Coastal and Great Lakes Passenger Transportation,total,146,160,2427,132727,533095
483211,Inland Water Freight Transportation,fewer than 20,224,229,1100,69975,281358
483211,Inland Water Freight Transportation,20 to 99,42,43,1554,115273,394045
483211,Inland Water Freight Transportation,100 to 499,24,28,4685,342646,1486729
483211,Inland Water Freight Transportation,more than 500,23,45,9570,660755,4594929
483211,Inland Water Freight Transportation,total,313,345,16909,1188649,6757061
483212,Inland Water Passenger Transportation,fewer than 20,306,308,1020,44889,157471
483212,Inland Water Passenger Transportation,20 to 99,24,27,742,31028,81315
483212,Inland Water Passenger Transportation,100 to 499,7,25,768,31113,117813
483212,Inland Water Passenger Transportation,more than 500,1,1,0,0,0
483212,Inland Water Passenger Transportation,total,338,361,2693,112664,388685
484110,"General Freight Trucking, Local",fewer than 20,23491,23530,75183,2648939,12346149
484110,"General Freight Trucking, Local",20 to 99,1680,2017,60900,2584475,9768630
484110,"General Freight Trucking, Local",100 to 499,362,895,37745,1615911,5750171
484110,"General Freight Trucking, Local",more than 500,221,1866,63122,3002881,4114121
484110,"General Freight Trucking, Local",total,25754,28308,236950,9852206,31979071
484121,"General Freight Trucking, Long-Distance, Truckload",fewer than 20,23184,23211,71698,2490363,16834436
484121,"General Freight Trucking, Long-Distance, Truckload",20 to 99,1995,2226,79845,3195556,16822790
484121,"General Freight Trucking, Long-Distance, Truckload",100 to 499,495,912,74609,3126322,15390443
484121,"General Freight Trucking, Long-Distance, Truckload",more than 500,259,2837,219881,8919455,39165844
484121,"General Freight Trucking, Long-Distance, Truckload",total,25933,29186,446033,17731696,88213513
484122,"General Freight Trucking, Long-Distance, Less Than Truckload",fewer than 20,3161,3163,8889,312384,1595303
484122,"General Freight Trucking, Long-Distance, Less Than Truckload",20 to 99,216,292,8096,339482,1495807
484122,"General Freight Trucking, Long-Distance, Less Than Truckload",100 to 499,79,242,9168,388760,1332994
484122,"General Freight Trucking, Long-Distance, Less Than Truckload",more than 500,69,3395,204477,10720103,30589661
484122,"General Freight Trucking, Long-Distance, Less Than Truckload",total,3525,7092,230630,11760729,35013765
484210,Used Household and Office Goods Moving,fewer than 20,5975,6014,27564,761724,2770472
484210,Used Household and Office Goods Moving,20 to 99,828,1014,29909,1017563,3438173
484210,Used Household and Office Goods Moving,100 to 499,111,444,17779,725322,2799906
484210,Used Household and Office Goods Moving,more than 500,31,243,10240,409432,4563064
484210,Used Household and Office Goods Moving,total,6945,7715,85492,2914041,13571615
484220,"Specialized Freight (except Used Goods) Trucking, Local",fewer than 20,26791,26832,87737,3347977,16322904
484220,"Specialized Freight (except Used Goods) Trucking, Local",20 to 99,1779,1977,63124,2926948,11129464
484220,"Specialized Freight (except Used Goods) Trucking, Local",100 to 499,300,600,31365,1536179,5520129
484220,"Specialized Freight (except Used Goods) Trucking, Local",more than 500,178,1071,35872,1761708,5532070
484220,"Specialized Freight (except Used Goods) Trucking, Local",total,29048,30480,218098,9572812,38504567
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",fewer than 20,6683,6698,22033,880875,5303664
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",20 to 99,600,718,22528,1059970,5116866
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",100 to 499,198,516,26603,1371820,5910256
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",more than 500,142,1050,56033,2844573,12347766
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",total,7623,8982,127197,6157238,28678552
485111,Mixed Mode Transit Systems,fewer than 20,65,65,196,4838,0
485111,Mixed Mode Transit Systems,20 to 99,14,14,457,9700,17201
485111,Mixed Mode Transit Systems,100 to 499,1,2,0,0,0
485111,Mixed Mode Transit Systems,more than 500,2,18,0,0,0
485111,Mixed Mode Transit Systems,total,82,99,2775,90695,137044
485112,Commuter Rail Systems,fewer than 20,2,2,0,0,0
485112,Commuter Rail Systems,20 to 99,1,1,0,0,0
485112,Commuter Rail Systems,100 to 499,1,7,0,0,0
485112,Commuter Rail Systems,more than 500,1,3,0,0,0
485112,Commuter Rail Systems,total,5,13,0,0,0
485113,Bus and Other Motor Vehicle Transit Systems,fewer than 20,447,447,2064,46340,161807
485113,Bus and Other Motor Vehicle Transit Systems,20 to 99,104,115,4176,90344,219225
485113,Bus and Other Motor Vehicle Transit Systems,100 to 499,48,70,5917,205747,408739
485113,Bus and Other Motor Vehicle Transit Systems,more than 500,26,225,32292,1330049,2283751
485113,Bus and Other Motor Vehicle Transit Systems,total,625,857,44449,1672480,3073522
485119,Other Urban Transit Systems,fewer than 20,68,68,210,4907,19976
485119,Other Urban Transit Systems,20 to 99,10,10,395,17450,0
485119,Other Urban Transit Systems,100 to 499,1,1,0,0,0
485119,Other Urban Transit Systems,total,79,79,661,26121,90544
485210,Interurban and Rural Bus Transportation,fewer than 20,293,295,1361,33625,152982
485210,Interurban and Rural Bus Transportation,20 to 99,66,91,2580,65656,206660
485210,Interurban and Rural Bus Transportation,100 to 499,27,94,3578,112823,320579
485210,Interurban and Rural Bus Transportation,more than 500,11,98,9927,334505,551819
485210,Interurban and Rural Bus Transportation,total,397,578,17446,546609,1232040
485310,Taxi Service,fewer than 20,2688,2690,9571,187332,899647
485310,Taxi Service,20 to 99,214,257,7765,181186,637270
485310,Taxi Service,100 to 499,28,45,5665,162610,449705
485310,Taxi Service,more than 500,14,55,9704,199895,512898
485310,Taxi Service,total,2944,3047,32705,731023,2499520
485320,Limousine Service,fewer than 20,3958,3962,13484,276779,1428250
485320,Limousine Service,20 to 99,359,369,14127,383221,1377985
485320,Limousine Service,100 to 499,62,81,8744,271968,866802
485320,Limousine Service,more than 500,10,46,3448,126415,481166
485320,Limousine Service,total,4389,4458,39803,1058383,4154203
485410,School and Employee Bus Transportation,fewer than 20,1832,1832,10192,156155,496136
485410,School and Employee Bus Transportation,20 to 99,653,696,28037,478297,1152770
485410,School and Employee Bus Transportation,100 to 499,232,399,43623,900853,1930019
485410,School and Employee Bus Transportation,more than 500,51,1366,129053,2614901,5672286
485410,School and Employee Bus Transportation,total,2768,4293,210905,4150206,9251211
485510,Charter Bus Industry,fewer than 20,877,880,4877,121036,590704
485510,Charter Bus Industry,20 to 99,308,336,12682,343806,1145992
485510,Charter Bus Industry,100 to 499,56,104,7333,204431,648252
485510,Charter Bus Industry,more than 500,24,65,6407,181471,521386
485510,Charter Bus Industry,total,1265,1385,31299,850744,2906334
485991,Special Needs Transportation,fewer than 20,1929,1937,10417,224244,690883
485991,Special Needs Transportation,20 to 99,501,545,19544,429042,1029318
485991,Special Needs Transportation,100 to 499,182,258,20722,506443,1273661
485991,Special Needs Transportation,more than 500,57,166,13279,394269,761790
485991,Special Needs Transportation,total,2669,2906,63962,1553998,3755652
485999,All Other Transit and Ground Passenger Transportation,fewer than 20,922,924,3189,72060,268862
485999,All Other Transit and Ground Passenger Transportation,20 to 99,107,112,4035,85450,228116
485999,All Other Transit and Ground Passenger Transportation,100 to 499,36,51,4272,87942,217151
485999,All Other Transit and Ground Passenger Transportation,more than 500,24,153,3668,100926,287689
485999,All Other Transit and Ground Passenger Transportation,total,1089,1240,15164,346378,1001818
487110,"Scenic and Sightseeing Transportation, Land",fewer than 20,453,457,1579,50089,231470
487110,"Scenic and Sightseeing Transportation, Land",20 to 99,66,71,2483,60128,214434
487110,"Scenic and Sightseeing Transportation, Land",100 to 499,13,21,1597,55273,245058
487110,"Scenic and Sightseeing Transportation, Land",more than 500,11,35,2393,70794,238957
487110,"Scenic and Sightseeing Transportation, Land",total,543,584,8052,236284,929919
487210,"Scenic and Sightseeing Transportation, Water",fewer than 20,1478,1482,3727,152695,606130
487210,"Scenic and Sightseeing Transportation, Water",20 to 99,98,111,3596,110651,374069
487210,"Scenic and Sightseeing Transportation, Water",100 to 499,21,28,2481,94564,359736
487210,"Scenic and Sightseeing Transportation, Water",more than 500,12,33,0,68327,204834
487210,"Scenic and Sightseeing Transportation, Water",total,1609,1654,12027,426237,1544769
487990,"Scenic and Sightseeing Transportation, Other",fewer than 20,170,173,616,23749,112132
487990,"Scenic and Sightseeing Transportation, Other",20 to 99,21,27,650,26224,110594
487990,"Scenic and Sightseeing Transportation, Other",100 to 499,9,19,1161,58345,305467
487990,"Scenic and Sightseeing Transportation, Other",more than 500,4,4,73,3365,14606
487990,"Scenic and Sightseeing Transportation, Other",total,204,223,2500,111683,542799
488111,Air Traffic Control,fewer than 20,11,11,0,1785,8831
488111,Air Traffic Control,20 to 99,1,1,0,0,0
488111,Air Traffic Control,100 to 499,2,80,0,0,0
488111,Air Traffic Control,more than 500,4,159,927,57290,182141
488111,Air Traffic Control,total,18,251,1558,101828,257654
488119,Other Airport Operations,fewer than 20,899,906,4757,152559,914524
488119,Other Airport Operations,20 to 99,196,229,6565,236532,1223479
488119,Other Airport Operations,100 to 499,52,138,5746,232969,995093
488119,Other Airport Operations,more than 500,71,746,66088,1791695,4169543
488119,Other Airport Operations,total,1218,2019,83156,2413755,7302639
488190,Other Support Activities for Air Transportation,fewer than 20,2498,2528,10856,484669,1985628
488190,Other Support Activities for Air Transportation,20 to 99,276,322,10216,528754,1954390
488190,Other Support Activities for Air Transportation,100 to 499,85,208,11908,628655,2141532
488190,Other Support Activities for Air Transportation,more than 500,91,624,50275,2875423,9755565
488190,Other Support Activities for Air Transportation,total,2950,3682,83255,4517501,15837115
488210,Support Activities for Rail Transportation,fewer than 20,314,321,1895,80527,307072
488210,Support Activities for Rail Transportation,20 to 99,105,178,3975,171470,640218
488210,Support Activities for Rail Transportation,100 to 499,39,108,4308,200161,662955
488210,Support Activities for Rail Transportation,more than 500,46,603,17114,818482,3179353
488210,Support Activities for Rail Transportation,total,504,1210,27292,1270640,4789598
488310,Port and Harbor Operations,fewer than 20,257,260,1126,54998,420663
488310,Port and Harbor Operations,20 to 99,56,87,1785,101803,409277
488310,Port and Harbor Operations,100 to 499,32,53,4081,212718,724121
488310,Port and Harbor Operations,more than 500,34,125,18404,976338,3791969
488310,Port and Harbor Operations,total,379,525,25396,1345857,5346030
488320,Marine Cargo Handling,fewer than 20,128,131,687,38064,190252
488320,Marine Cargo Handling,20 to 99,34,41,1242,72957,788001
488320,Marine Cargo Handling,100 to 499,35,57,5846,230673,731846
488320,Marine Cargo Handling,more than 500,32,114,36049,2259452,4176046
488320,Marine Cargo Handling,total,229,343,43824,2601146,5886145
488330,Navigational Services to Shipping,fewer than 20,564,568,1872,141795,571495
488330,Navigational Services to Shipping,20 to 99,86,115,2847,195740,667596
488330,Navigational Services to Shipping,100 to 499,31,64,3417,231245,788600
488330,Navigational Services to Shipping,more than 500,16,103,4396,270179,1249569
488330,Navigational Services to Shipping,total,697,850,12532,838959,3277260
488390,Other Support Activities for Water Transportation,fewer than 20,541,555,1844,92590,319006
488390,Other Support Activities for Water Transportation,20 to 99,68,76,2552,120211,399351
488390,Other Support Activities for Water Transportation,100 to 499,19,26,2209,119337,357007
488390,Other Support Activities for Water Transportation,more than 500,21,62,3181,218856,1156268
488390,Other Support Activities for Water Transportation,total,649,719,9786,550994,2231632
488410,Motor Vehicle Towing,fewer than 20,7708,7787,33304,944608,3313491
488410,Motor Vehicle Towing,20 to 99,546,662,17027,601692,1648181
488410,Motor Vehicle Towing,100 to 499,17,28,0,52703,0
488410,Motor Vehicle Towing,more than 500,11,51,3365,98007,252202
488410,Motor Vehicle Towing,total,8282,8528,55139,1697010,5398904
488490,Other Support Activities for Road Transportation,fewer than 20,1211,1221,4534,156938,687562
488490,Other Support Activities for Road Transportation,20 to 99,149,206,4906,196522,645959
488490,Other Support Activities for Road Transportation,100 to 499,56,132,5010,160393,544184
488490,Other Support Activities for Road Transportation,more than 500,54,1170,21510,641196,1581736
488490,Other Support Activities for Road Transportation,total,1470,2729,35960,1155049,3459441
488510,Freight Transportation Arrangement,fewer than 20,13163,13512,54680,2714481,15336918
488510,Freight Transportation Arrangement,20 to 99,1284,2208,47483,2618310,10916456
488510,Freight Transportation Arrangement,100 to 499,345,1634,41936,2353453,9025849
488510,Freight Transportation Arrangement,more than 500,226,3498,99216,5173990,18696432
488510,Freight Transportation Arrangement,total,15018,20852,243315,12860234,53975655
488991,Packing and Crating,fewer than 20,1077,1092,4796,139613,717423
488991,Packing and Crating,20 to 99,111,127,4396,152365,611664
488991,Packing and Crating,100 to 499,40,74,3995,138574,488426
488991,Packing and Crating,more than 500,18,53,3437,101505,348983
488991,Packing and Crating,total,1246,1346,16624,532057,2166496
488999,All Other Support Activities for Transportation,fewer than 20,128,128,336,14948,78472
488999,All Other Support Activities for Transportation,20 to 99,7,7,208,4468,14602
488999,All Other Support Activities for Transportation,100 to 499,2,13,0,0,0
488999,All Other Support Activities for Transportation,more than 500,6,10,195,5355,0
488999,All Other Support Activities for Transportation,total,143,158,854,32701,151060
493120,Refrigerated Warehousing and Storage,fewer than 20,342,353,2039,83882,396878
493120,Refrigerated Warehousing and Storage,20 to 99,167,222,6609,247083,887172
493120,Refrigerated Warehousing and Storage,100 to 499,47,112,5051,203462,564736
493120,Refrigerated Warehousing and Storage,more than 500,72,471,28118,1208519,2456551
493120,Refrigerated Warehousing and Storage,total,628,1158,41817,1742946,4305337
493130,Farm Product Warehousing and Storage,fewer than 20,241,246,1172,46131,482384
493130,Farm Product Warehousing and Storage,20 to 99,55,95,1168,44528,201702
493130,Farm Product Warehousing and Storage,100 to 499,40,93,1109,55138,119732
493130,Farm Product Warehousing and Storage,more than 500,33,96,1319,63150,325376
493130,Farm Product Warehousing and Storage,total,369,530,4768,208947,1129194
512110,Motion Picture and Video Production,fewer than 20,12514,12544,25255,2702312,9060774
512110,Motion Picture and Video Production,20 to 99,353,410,13256,1000329,4738827
512110,Motion Picture and Video Production,100 to 499,76,124,9418,761195,3165318
512110,Motion Picture and Video Production,more than 500,51,406,85436,5891312,37330329
512110,Motion Picture and Video Production,total,12994,13484,133365,10355148,54295248
512120,Motion Picture and Video Distribution,fewer than 20,347,349,1218,90974,497416
512120,Motion Picture and Video Distribution,20 to 99,18,20,487,42763,407591
512120,Motion Picture and Video Distribution,100 to 499,5,8,684,71705,560289
512120,Motion Picture and Video Distribution,more than 500,12,29,0,0,0
512120,Motion Picture and Video Distribution,total,382,406,5525,827708,0
512131,Motion Picture Theaters (except Drive-Ins),fewer than 20,1327,1344,9525,123466,726476
512131,Motion Picture Theaters (except Drive-Ins),20 to 99,434,596,14859,167778,1061453
512131,Motion Picture Theaters (except Drive-Ins),100 to 499,78,515,15886,183307,1386001
512131,Motion Picture Theaters (except Drive-Ins),more than 500,37,2085,87819,936605,10150660
512131,Motion Picture Theaters (except Drive-Ins),total,1876,4540,128089,1411156,13324590
512132,Drive-In Motion Picture Theaters,fewer than 20,182,182,354,9362,55632
512132,Drive-In Motion Picture Theaters,20 to 99,21,27,380,3898,22514
512132,Drive-In Motion Picture Theaters,100 to 499,5,14,0,0,0
512132,Drive-In Motion Picture Theaters,more than 500,2,2,0,0,0
512132,Drive-In Motion Picture Theaters,total,210,225,1023,16685,99511
512191,Teleproduction and Other Postproduction Services,fewer than 20,2009,2015,5243,386195,1141588
512191,Teleproduction and Other Postproduction Services,20 to 99,134,160,4879,417631,1109289
512191,Teleproduction and Other Postproduction Services,100 to 499,32,65,5221,354092,803515
512191,Teleproduction and Other Postproduction Services,more than 500,17,62,7434,770905,1914060
512191,Teleproduction and Other Postproduction Services,total,2192,2302,22777,1928823,4968452
512199,Other Motion Picture and Video Industries,fewer than 20,171,172,565,33256,129725
512199,Other Motion Picture and Video Industries,20 to 99,13,15,444,32250,119504
512199,Other Motion Picture and Video Industries,100 to 499,2,2,0,0,0
512199,Other Motion Picture and Video Industries,more than 500,3,8,0,0,0
512199,Other Motion Picture and Video Industries,total,189,197,2125,156064,565505
611110,Elementary and Secondary Schools,fewer than 20,8030,8061,62455,1536779,4004266
611110,Elementary and Secondary Schools,20 to 99,8572,8828,386324,11560727,27974266
611110,Elementary and Secondary Schools,100 to 499,2139,3199,346581,13096433,33998951
611110,Elementary and Secondary Schools,more than 500,204,1271,100172,3384202,9433296
611110,Elementary and Secondary Schools,total,18945,21359,895532,29578141,75410779
611210,Junior Colleges,fewer than 20,189,189,1133,41930,140738
611210,Junior Colleges,20 to 99,102,107,5020,144252,390094
611210,Junior Colleges,100 to 499,112,180,25329,704801,1970851
611210,Junior Colleges,more than 500,61,477,53685,1891824,5947738
611210,Junior Colleges,total,464,953,85167,2782807,8449421
611310,"Colleges, Universities, and Professional Schools",fewer than 20,682,684,3876,150152,734403
611310,"Colleges, Universities, and Professional Schools",20 to 99,351,363,16695,542196,1702088
611310,"Colleges, Universities, and Professional Schools",100 to 499,458,562,117729,3542978,11355888
611310,"Colleges, Universities, and Professional Schools",more than 500,791,2720,1666899,63837999,209062039
611310,"Colleges, Universities, and Professional Schools",total,2282,4329,1805199,68073325,222854418
611410,Business and Secretarial Schools,fewer than 20,138,140,680,24333,63253
611410,Business and Secretarial Schools,20 to 99,41,60,1897,68751,150051
611410,Business and Secretarial Schools,100 to 499,18,55,2715,87347,217245
611410,Business and Secretarial Schools,more than 500,11,30,1802,59957,143059
611410,Business and Secretarial Schools,total,208,285,7094,240388,573608
611420,Computer Training,fewer than 20,1438,1448,4669,220565,738840
611420,Computer Training,20 to 99,138,191,5361,318014,852711
611420,Computer Training,100 to 499,24,50,2095,133161,326850
611420,Computer Training,more than 500,14,36,1683,111636,249782
611420,Computer Training,total,1614,1725,13808,783376,2168183
611430,Professional and Management Development Training,fewer than 20,5872,5903,17217,941523,3188505
611430,Professional and Management Development Training,20 to 99,369,437,13477,812776,2275686
611430,Professional and Management Development Training,100 to 499,94,206,12535,736857,1924299
611430,Professional and Management Development Training,more than 500,84,195,8727,481836,1330665
611430,Professional and Management Development Training,total,6419,6741,51956,2972992,8719155
611511,Cosmetology and Barber Schools,fewer than 20,1166,1215,7373,198248,595970
611511,Cosmetology and Barber Schools,20 to 99,232,371,7699,242233,722520
611511,Cosmetology and Barber Schools,100 to 499,25,93,2443,79065,243445
611511,Cosmetology and Barber Schools,more than 500,13,292,3957,116443,458280
611511,Cosmetology and Barber Schools,total,1436,1971,21472,635989,2020215
611512,Flight Training,fewer than 20,667,671,2845,84753,373052
611512,Flight Training,20 to 99,66,77,2282,80510,365959
611512,Flight Training,100 to 499,12,23,1484,52737,210607
611512,Flight Training,more than 500,16,142,6957,467182,1615802
611512,Flight Training,total,761,913,13568,685182,2565420
611513,Apprenticeship Training,fewer than 20,951,981,4998,177734,610213
611513,Apprenticeship Training,20 to 99,127,215,4462,146663,479892
611513,Apprenticeship Training,100 to 499,27,39,2896,72530,184617
611513,Apprenticeship Training,more than 500,14,25,0,33696,56562
611513,Apprenticeship Training,total,1119,1260,14556,430623,1331284
611519,Other Technical and Trade Schools,fewer than 20,2757,2788,11504,372234,1232183
611519,Other Technical and Trade Schools,20 to 99,360,513,14101,505647,1408292
611519,Other Technical and Trade Schools,100 to 499,121,356,17888,661400,1873930
611519,Other Technical and Trade Schools,more than 500,92,620,47122,1944524,5591508
611519,Other Technical and Trade Schools,total,3330,4277,90615,3483805,10105913
611610,Fine Arts Schools,fewer than 20,11464,11532,52803,751113,2748029
611610,Fine Arts Schools,20 to 99,641,776,21518,348323,852568
611610,Fine Arts Schools,100 to 499,53,84,7896,171609,388071
611610,Fine Arts Schools,more than 500,8,12,0,0,0
611610,Fine Arts Schools,total,12166,12404,83653,1298807,4055993
611620,Sports and Recreation Instruction,fewer than 20,12839,12891,50524,883808,3259377
611620,Sports and Recreation Instruction,20 to 99,1106,1374,37839,582721,1493642
611620,Sports and Recreation Instruction,100 to 499,53,173,6939,115196,274659
611620,Sports and Recreation Instruction,more than 500,18,25,3009,90539,226144
611620,Sports and Recreation Instruction,total,14016,14463,98311,1672264,5253822
611630,Language Schools,fewer than 20,1027,1030,5688,120178,300725
611630,Language Schools,20 to 99,212,260,7872,149988,387276
611630,Language Schools,100 to 499,33,102,5123,159721,405800
611630,Language Schools,more than 500,5,132,0,0,0
611630,Language Schools,total,1277,1524,22687,508201,1436579
611691,Exam Preparation and Tutoring,fewer than 20,6319,6369,32476,489892,1506378
611691,Exam Preparation and Tutoring,20 to 99,979,1312,35307,451099,1083154
611691,Exam Preparation and Tutoring,100 to 499,163,468,23607,311689,617234
611691,Exam Preparation and Tutoring,more than 500,54,948,37505,650148,1604219
611691,Exam Preparation and Tutoring,total,7515,9097,128895,1902828,4810985
611692,Automobile Driving Schools,fewer than 20,2125,2146,8917,148555,425274
611692,Automobile Driving Schools,20 to 99,111,206,3960,77799,193063
611692,Automobile Driving Schools,100 to 499,16,39,1680,39352,102258
611692,Automobile Driving Schools,more than 500,3,6,0,0,0
611692,Automobile Driving Schools,total,2255,2397,14575,266223,721804
611699,All Other Miscellaneous Schools and Instruction,fewer than 20,4336,4352,14451,385868,1365978
611699,All Other Miscellaneous Schools and Instruction,20 to 99,275,299,9565,273428,812248
611699,All Other Miscellaneous Schools and Instruction,100 to 499,47,179,6599,229791,1050873
611699,All Other Miscellaneous Schools and Instruction,more than 500,26,156,0,187296,394676
611699,All Other Miscellaneous Schools and Instruction,total,4684,4986,35300,1076383,3623775
611710,Educational Support Services,fewer than 20,5663,5700,17358,731447,2546596
